"@timestamp","source.bytes","source.packets","destination.bytes","destination.packets","network.packets","network.bytes","network.transport","event.duration"
"Jan 22, 2020 @ 17:20:10.004","4,298,446","43,102","8,357,042","41,878","84,980","12,655,488",udp,"3,136,673,066,886"
"Jan 22, 2020 @ 17:20:10.004","2,149,223","21,551","4,178,521","20,939","42,490","6,327,744",udp,"3,136,672,943,465"
"Jan 22, 2020 @ 17:20:10.004",92,1,92,1,2,184,udp,"28,463"
"Jan 22, 2020 @ 17:20:10.004",92,1,92,1,2,184,udp,"28,100"
"Jan 22, 2020 @ 17:20:10.004","1,874",9,"2,135",6,15,"4,009",tcp,"3,061,814"
"Jan 22, 2020 @ 17:20:10.004","3,748",18,"4,270",12,30,"8,018",tcp,"3,090,922"
"Jan 22, 2020 @ 17:20:10.004","1,875",9,"2,135",6,15,"4,010",tcp,"511,376,113"
"Jan 22, 2020 @ 17:20:10.004","3,750",18,"4,270",12,30,"8,020",tcp,"511,396,700"
"Jan 22, 2020 @ 17:20:10.004","5,607,880","3,867","1,198,340","2,155","6,022","6,806,220",tcp,"2,948,256,206,597"
"Jan 22, 2020 @ 17:20:10.004","126,484,761","14,636","20,424,238","10,339","24,975","146,908,999",tcp,"2,932,384,074,810"
"Jan 22, 2020 @ 17:20:10.004",288,4,152,2,6,440,tcp,"240,922"
"Jan 22, 2020 @ 17:20:10.004",144,2,76,1,3,220,tcp,"198,509"
"Jan 22, 2020 @ 17:20:10.004",288,4,152,2,6,440,tcp,"273,291"
"Jan 22, 2020 @ 17:20:10.004",144,2,76,1,3,220,tcp,"202,131"
"Jan 22, 2020 @ 17:20:10.004",288,4,152,2,6,440,tcp,"239,713"
"Jan 22, 2020 @ 17:20:10.004",144,2,76,1,3,220,tcp,"194,072"
"Jan 22, 2020 @ 17:20:10.004",288,4,152,2,6,440,tcp,"230,252"
"Jan 22, 2020 @ 17:20:10.004",144,2,76,1,3,220,tcp,"193,181"
"Jan 22, 2020 @ 17:20:10.004",288,4,152,2,6,440,tcp,"243,985"
"Jan 22, 2020 @ 17:20:10.004",144,2,76,1,3,220,tcp,"192,561"
"Jan 22, 2020 @ 17:20:10.004",288,4,152,2,6,440,tcp,"241,319"
"Jan 22, 2020 @ 17:20:10.004",144,2,76,1,3,220,tcp,"191,243"
"Jan 22, 2020 @ 17:20:10.004",288,4,152,2,6,440,tcp,"265,465"
"Jan 22, 2020 @ 17:20:10.004",144,2,76,1,3,220,tcp,"201,206"
"Jan 22, 2020 @ 17:20:10.004",288,4,152,2,6,440,tcp,"231,091"
"Jan 22, 2020 @ 17:20:10.004",144,2,76,1,3,220,tcp,"198,163"
"Jan 22, 2020 @ 17:20:10.004",288,4,152,2,6,440,tcp,"223,918"
"Jan 22, 2020 @ 17:20:10.004",144,2,76,1,3,220,tcp,"190,833"
"Jan 22, 2020 @ 17:20:10.004",288,4,152,2,6,440,tcp,"248,712"
"Jan 22, 2020 @ 17:20:10.004",144,2,76,1,3,220,tcp,"198,297"
"Jan 22, 2020 @ 17:20:10.004",288,4,152,2,6,440,tcp,"235,160"
"Jan 22, 2020 @ 17:20:10.004",144,2,76,1,3,220,tcp,"199,177"
"Jan 22, 2020 @ 17:20:10.004",288,4,152,2,6,440,tcp,"238,235"
"Jan 22, 2020 @ 17:20:10.004",144,2,76,1,3,220,tcp,"192,210"
"Jan 22, 2020 @ 17:20:10.004",288,4,152,2,6,440,tcp,"247,256"
"Jan 22, 2020 @ 17:20:10.004",144,2,76,1,3,220,tcp,"195,456"
"Jan 22, 2020 @ 17:20:10.004",288,4,152,2,6,440,tcp,"275,409"
"Jan 22, 2020 @ 17:20:10.004",144,2,76,1,3,220,tcp,"225,542"
"Jan 22, 2020 @ 17:20:10.004",288,4,152,2,6,440,tcp,"242,292"
"Jan 22, 2020 @ 17:20:10.004",144,2,76,1,3,220,tcp,"191,613"
"Jan 22, 2020 @ 17:20:10.004",288,4,152,2,6,440,tcp,"244,443"
"Jan 22, 2020 @ 17:20:10.004",144,2,76,1,3,220,tcp,"194,124"
"Jan 22, 2020 @ 17:20:10.004",288,4,152,2,6,440,tcp,"231,119"
"Jan 22, 2020 @ 17:20:10.004",144,2,76,1,3,220,tcp,"208,484"
"Jan 22, 2020 @ 17:20:10.004",288,4,152,2,6,440,tcp,"225,976"
"Jan 22, 2020 @ 17:20:10.004",144,2,76,1,3,220,tcp,"191,785"
"Jan 22, 2020 @ 17:20:10.004",288,4,152,2,6,440,tcp,"236,667"
"Jan 22, 2020 @ 17:20:10.004",144,2,76,1,3,220,tcp,"200,755"
"Jan 22, 2020 @ 17:20:10.004",288,4,152,2,6,440,tcp,"232,274"
"Jan 22, 2020 @ 17:20:10.004",144,2,76,1,3,220,tcp,"192,933"
"Jan 22, 2020 @ 17:20:10.004",288,4,152,2,6,440,tcp,"236,359"
"Jan 22, 2020 @ 17:20:10.004",144,2,76,1,3,220,tcp,"191,447"
"Jan 22, 2020 @ 17:20:10.004",288,4,152,2,6,440,tcp,"261,949"
"Jan 22, 2020 @ 17:20:10.004",144,2,76,1,3,220,tcp,"196,367"
"Jan 22, 2020 @ 17:20:10.004",288,4,152,2,6,440,tcp,"241,794"
"Jan 22, 2020 @ 17:20:10.004",144,2,76,1,3,220,tcp,"192,660"
"Jan 22, 2020 @ 17:20:10.004",288,4,152,2,6,440,tcp,"224,335"
"Jan 22, 2020 @ 17:20:10.004",144,2,76,1,3,220,tcp,"206,289"
"Jan 22, 2020 @ 17:20:10.004",288,4,152,2,6,440,tcp,"276,612"
"Jan 22, 2020 @ 17:20:10.004",144,2,76,1,3,220,tcp,"218,227"
"Jan 22, 2020 @ 17:20:10.004",288,4,152,2,6,440,tcp,"306,763"
"Jan 22, 2020 @ 17:20:10.004",144,2,76,1,3,220,tcp,"264,041"
"Jan 22, 2020 @ 17:20:10.004",288,4,152,2,6,440,tcp,"243,769"
"Jan 22, 2020 @ 17:20:10.004",144,2,76,1,3,220,tcp,"195,886"
"Jan 22, 2020 @ 17:20:10.004",288,4,152,2,6,440,tcp,"258,970"
"Jan 22, 2020 @ 17:20:10.004",144,2,76,1,3,220,tcp,"198,825"
"Jan 22, 2020 @ 17:20:10.004",288,4,152,2,6,440,tcp,"269,830"
"Jan 22, 2020 @ 17:20:10.004",144,2,76,1,3,220,tcp,"199,415"
"Jan 22, 2020 @ 17:20:10.004",288,4,152,2,6,440,tcp,"243,004"
"Jan 22, 2020 @ 17:20:10.004",144,2,76,1,3,220,tcp,"206,852"
"Jan 22, 2020 @ 17:20:10.004",288,4,152,2,6,440,tcp,"254,114"
"Jan 22, 2020 @ 17:20:10.004",144,2,76,1,3,220,tcp,"208,001"
"Jan 22, 2020 @ 17:20:10.004",288,4,152,2,6,440,tcp,"266,518"
"Jan 22, 2020 @ 17:20:10.004",144,2,76,1,3,220,tcp,"202,925"
"Jan 22, 2020 @ 17:20:10.004",288,4,152,2,6,440,tcp,"239,770"
"Jan 22, 2020 @ 17:20:10.004",144,2,76,1,3,220,tcp,"193,904"
"Jan 22, 2020 @ 17:20:10.004",288,4,152,2,6,440,tcp,"220,582"
"Jan 22, 2020 @ 17:20:10.004",144,2,76,1,3,220,tcp,"186,560"
"Jan 22, 2020 @ 17:20:10.004",288,4,152,2,6,440,tcp,"238,880"
"Jan 22, 2020 @ 17:20:10.004",144,2,76,1,3,220,tcp,"193,691"
"Jan 22, 2020 @ 17:20:10.004",288,4,152,2,6,440,tcp,"210,345"
"Jan 22, 2020 @ 17:20:10.004",144,2,76,1,3,220,tcp,"178,102"
"Jan 22, 2020 @ 17:20:10.004",288,4,152,2,6,440,tcp,"276,635"
"Jan 22, 2020 @ 17:20:10.004",144,2,76,1,3,220,tcp,"204,571"
"Jan 22, 2020 @ 17:20:10.004",288,4,152,2,6,440,tcp,"263,019"
"Jan 22, 2020 @ 17:20:10.004",144,2,76,1,3,220,tcp,"215,680"
"Jan 22, 2020 @ 17:20:10.004",288,4,152,2,6,440,tcp,"287,981"
"Jan 22, 2020 @ 17:20:10.004",144,2,76,1,3,220,tcp,"221,457"
"Jan 22, 2020 @ 17:20:10.004",288,4,152,2,6,440,tcp,"274,253"
"Jan 22, 2020 @ 17:20:10.004",144,2,76,1,3,220,tcp,"231,177"
"Jan 22, 2020 @ 17:20:10.004",288,4,152,2,6,440,tcp,"225,072"
"Jan 22, 2020 @ 17:20:10.004",144,2,76,1,3,220,tcp,"189,086"
"Jan 22, 2020 @ 17:20:10.004",288,4,152,2,6,440,tcp,"224,722"
"Jan 22, 2020 @ 17:20:10.004",144,2,76,1,3,220,tcp,"193,319"
"Jan 22, 2020 @ 17:20:10.004",288,4,152,2,6,440,tcp,"295,999"
"Jan 22, 2020 @ 17:20:10.004",144,2,76,1,3,220,tcp,"192,850"
"Jan 22, 2020 @ 17:20:10.004",288,4,152,2,6,440,tcp,"230,721"
"Jan 22, 2020 @ 17:20:10.004",144,2,76,1,3,220,tcp,"215,046"
"Jan 22, 2020 @ 17:20:10.004",288,4,152,2,6,440,tcp,"266,510"
"Jan 22, 2020 @ 17:20:10.004",144,2,76,1,3,220,tcp,"202,462"
"Jan 22, 2020 @ 17:20:10.004",288,4,152,2,6,440,tcp,"261,973"
"Jan 22, 2020 @ 17:20:10.004",144,2,76,1,3,220,tcp,"194,574"
"Jan 22, 2020 @ 17:20:10.004",288,4,152,2,6,440,tcp,"230,099"
"Jan 22, 2020 @ 17:20:10.004",144,2,76,1,3,220,tcp,"192,875"
"Jan 22, 2020 @ 17:20:10.004",288,4,152,2,6,440,tcp,"221,550"
"Jan 22, 2020 @ 17:20:10.004",144,2,76,1,3,220,tcp,"189,796"
"Jan 22, 2020 @ 17:20:10.004",288,4,152,2,6,440,tcp,"271,656"
"Jan 22, 2020 @ 17:20:10.004",144,2,76,1,3,220,tcp,"204,292"
"Jan 22, 2020 @ 17:20:10.004",288,4,152,2,6,440,tcp,"252,976"
"Jan 22, 2020 @ 17:20:10.004",144,2,76,1,3,220,tcp,"221,899"
"Jan 22, 2020 @ 17:20:10.004",288,4,152,2,6,440,tcp,"227,418"
"Jan 22, 2020 @ 17:20:10.004",144,2,76,1,3,220,tcp,"192,521"
"Jan 22, 2020 @ 17:20:10.004",288,4,152,2,6,440,tcp,"256,563"
"Jan 22, 2020 @ 17:20:10.004",144,2,76,1,3,220,tcp,"198,644"
"Jan 22, 2020 @ 17:20:10.004",288,4,152,2,6,440,tcp,"227,856"
"Jan 22, 2020 @ 17:20:10.004",144,2,76,1,3,220,tcp,"191,745"
"Jan 22, 2020 @ 17:20:10.004",288,4,152,2,6,440,tcp,"234,697"
"Jan 22, 2020 @ 17:20:10.004",144,2,76,1,3,220,tcp,"189,998"
"Jan 22, 2020 @ 17:20:10.004",288,4,152,2,6,440,tcp,"248,442"
"Jan 22, 2020 @ 17:20:10.004",144,2,76,1,3,220,tcp,"198,015"
"Jan 22, 2020 @ 17:20:10.004",288,4,152,2,6,440,tcp,"244,745"
"Jan 22, 2020 @ 17:20:10.004",144,2,76,1,3,220,tcp,"192,226"
"Jan 22, 2020 @ 17:20:10.004",288,4,152,2,6,440,tcp,"238,313"
"Jan 22, 2020 @ 17:20:10.004",144,2,76,1,3,220,tcp,"191,958"
"Jan 22, 2020 @ 17:20:10.004",288,4,152,2,6,440,tcp,"250,164"
"Jan 22, 2020 @ 17:20:10.004",144,2,76,1,3,220,tcp,"200,738"
"Jan 22, 2020 @ 17:20:10.004",288,4,152,2,6,440,tcp,"229,677"
"Jan 22, 2020 @ 17:20:10.004",144,2,76,1,3,220,tcp,"194,171"
"Jan 22, 2020 @ 17:20:10.004",288,4,152,2,6,440,tcp,"225,374"
"Jan 22, 2020 @ 17:20:10.004",144,2,76,1,3,220,tcp,"196,389"
"Jan 22, 2020 @ 17:20:10.004",288,4,152,2,6,440,tcp,"252,706"
"Jan 22, 2020 @ 17:20:10.004",144,2,76,1,3,220,tcp,"186,723"
"Jan 22, 2020 @ 17:20:10.004",288,4,152,2,6,440,tcp,"225,048"
"Jan 22, 2020 @ 17:20:10.004",144,2,76,1,3,220,tcp,"188,715"
"Jan 22, 2020 @ 17:20:10.004",288,4,152,2,6,440,tcp,"233,447"
"Jan 22, 2020 @ 17:20:10.004",144,2,76,1,3,220,tcp,"186,066"
"Jan 22, 2020 @ 17:20:10.004",288,4,152,2,6,440,tcp,"242,706"
"Jan 22, 2020 @ 17:20:10.004",144,2,76,1,3,220,tcp,"197,452"
