"@timestamp","source.ip","source.port","source.packets","source.bytes","destination.ip","destination.port","destination.packets","destination.bytes","network.bytes","network.transport","event.duration","network.packets"
"Jan 23, 2020 @ 14:28:41.937","52.205.255.12","50,180",,,"192.168.4.10","8,443",,,,tcp,"2,824,000",
"Jan 23, 2020 @ 14:28:41.937","52.205.255.12","50,180",,,"10.0.12.101","8,443",,,,tcp,"2,837,000",
"Jan 23, 2020 @ 14:28:40.002","52.205.255.12","50,128",9,"1,874","10.0.12.101","8,443",6,"2,136","4,010",tcp,"2,979,470",15
"Jan 23, 2020 @ 14:28:40.002","52.205.255.12","50,128",18,"3,748","192.168.4.10","8,443",12,"4,272","8,020",tcp,"2,997,285",30
"Jan 23, 2020 @ 14:28:40.002","52.205.255.12","50,130",9,"1,873","10.0.12.101","8,443",7,"2,204","4,077",tcp,"2,977,610",16
"Jan 23, 2020 @ 14:28:40.002","52.205.255.12","50,130",18,"3,746","192.168.4.10","8,443",14,"4,408","8,154",tcp,"2,998,390",32
"Jan 23, 2020 @ 14:28:40.002","52.205.255.12","50,132",9,"1,872","10.0.12.101","8,443",6,"2,136","4,008",tcp,"3,009,101",15
"Jan 23, 2020 @ 14:28:40.002","52.205.255.12","50,132",18,"3,744","192.168.4.10","8,443",12,"4,272","8,016",tcp,"3,022,203",30
"Jan 23, 2020 @ 14:28:40.002","52.205.255.12","50,134",9,"1,873","10.0.12.101","8,443",6,"2,136","4,009",tcp,"3,905,787",15
"Jan 23, 2020 @ 14:28:40.002","52.205.255.12","50,134",18,"3,746","192.168.4.10","8,443",12,"4,272","8,018",tcp,"3,913,857",30
"Jan 23, 2020 @ 14:28:40.002","52.205.255.12","50,136",9,"1,874","10.0.12.101","8,443",6,"2,136","4,010",tcp,"3,296,684",15
"Jan 23, 2020 @ 14:28:40.002","52.205.255.12","50,136",18,"3,748","192.168.4.10","8,443",12,"4,272","8,020",tcp,"3,318,216",30
"Jan 23, 2020 @ 14:28:40.002","52.205.255.12","50,138",9,"1,291","10.0.12.101","8,443",6,"2,046","3,337",tcp,"2,987,652",15
"Jan 23, 2020 @ 14:28:40.002","52.205.255.12","50,138",18,"2,582","192.168.4.10","8,443",12,"4,092","6,674",tcp,"3,009,649",30
"Jan 23, 2020 @ 14:28:40.002","52.205.255.12","50,140",9,"1,231","10.0.12.101","8,443",7,"2,652","3,883",tcp,"510,374,627",16
"Jan 23, 2020 @ 14:28:40.002","52.205.255.12","50,140",18,"2,462","192.168.4.10","8,443",14,"5,304","7,766",tcp,"510,396,461",32
"Jan 23, 2020 @ 14:28:40.002","52.205.255.12","50,142",9,"1,283","10.0.12.101","8,443",6,"2,058","3,341",tcp,"2,944,308",15
"Jan 23, 2020 @ 14:28:40.002","52.205.255.12","50,142",18,"2,566","192.168.4.10","8,443",12,"4,116","6,682",tcp,"2,986,113",30
"Jan 23, 2020 @ 14:28:40.002","52.205.255.12","50,144",9,"1,875","10.0.12.101","8,443",6,"2,136","4,011",tcp,"2,893,074",15
"Jan 23, 2020 @ 14:28:40.002","52.205.255.12","50,144",18,"3,750","192.168.4.10","8,443",12,"4,272","8,022",tcp,"2,911,466",30
"Jan 23, 2020 @ 14:28:40.002","52.205.255.12","50,146",9,"1,872","10.0.12.101","8,443",7,"2,204","4,076",tcp,"2,736,084",16
"Jan 23, 2020 @ 14:28:40.002","52.205.255.12","50,146",18,"3,744","192.168.4.10","8,443",14,"4,408","8,152",tcp,"2,751,404",32
"Jan 23, 2020 @ 14:28:40.002","52.205.255.12","50,148",9,"1,872","10.0.12.101","8,443",7,"2,204","4,076",tcp,"3,026,783",16
"Jan 23, 2020 @ 14:28:40.002","52.205.255.12","50,148",18,"3,744","192.168.4.10","8,443",14,"4,408","8,152",tcp,"3,019,884",32
"Jan 23, 2020 @ 14:28:40.002","52.205.255.12","50,150",9,"1,874","10.0.12.101","8,443",7,"2,204","4,078",tcp,"3,024,938",16
"Jan 23, 2020 @ 14:28:40.002","52.205.255.12","50,150",18,"3,748","192.168.4.10","8,443",14,"4,408","8,156",tcp,"3,036,423",32
"Jan 23, 2020 @ 14:28:40.002","52.205.255.12","50,152",9,"1,871","10.0.12.101","8,443",6,"2,136","4,007",tcp,"2,995,043",15
"Jan 23, 2020 @ 14:28:40.002","52.205.255.12","50,152",18,"3,742","192.168.4.10","8,443",12,"4,272","8,014",tcp,"3,004,948",30
"Jan 23, 2020 @ 14:28:40.002","52.205.255.12","50,154",9,"1,874","10.0.12.101","8,443",7,"2,204","4,078",tcp,"3,106,327",16
"Jan 23, 2020 @ 14:28:40.002","52.205.255.12","50,154",18,"3,748","192.168.4.10","8,443",14,"4,408","8,156",tcp,"3,131,432",32
"Jan 23, 2020 @ 14:28:40.002","52.205.255.12","50,156",9,"1,872","10.0.12.101","8,443",6,"2,136","4,008",tcp,"3,398,961",15
"Jan 23, 2020 @ 14:28:40.002","52.205.255.12","50,156",18,"3,744","192.168.4.10","8,443",12,"4,272","8,016",tcp,"3,421,625",30
"Jan 23, 2020 @ 14:28:40.002","52.205.255.12","50,158",9,"1,291","10.0.12.101","8,443",6,"2,046","3,337",tcp,"4,079,986",15
"Jan 23, 2020 @ 14:28:40.002","52.205.255.12","50,158",18,"2,582","192.168.4.10","8,443",12,"4,092","6,674",tcp,"4,095,779",30
"Jan 23, 2020 @ 14:28:40.002","52.205.255.12","50,160",9,"1,231","10.0.12.101","8,443",7,"2,652","3,883",tcp,"3,952,543",16
"Jan 23, 2020 @ 14:28:40.002","52.205.255.12","50,160",18,"2,462","192.168.4.10","8,443",14,"5,304","7,766",tcp,"3,965,535",32
"Jan 23, 2020 @ 14:28:40.002","52.205.255.12","50,162",9,"1,283","10.0.12.101","8,443",6,"2,058","3,341",tcp,"3,371,588",15
"Jan 23, 2020 @ 14:28:40.002","52.205.255.12","50,162",18,"2,566","192.168.4.10","8,443",12,"4,116","6,682",tcp,"3,379,603",30
"Jan 23, 2020 @ 14:28:40.002","52.205.255.12","50,164",9,"1,875","10.0.12.101","8,443",6,"2,136","4,011",tcp,"501,278,087",15
