,source.bytes,source.packets,destination.bytes,destination.packets,network.packets,network.bytes,event.duration
0,4298446.0,43102.0,8357042.0,41878.0,84980.0,12655488.0,3136673066886.0
1,2149223.0,21551.0,4178521.0,20939.0,42490.0,6327744.0,3136672943465.0
2,92.0,1.0,92.0,1.0,2.0,184.0,28463.0
3,92.0,1.0,92.0,1.0,2.0,184.0,28100.0
4,1874.0,9.0,2135.0,6.0,15.0,4009.0,3061814.0
5,3748.0,18.0,4270.0,12.0,30.0,8018.0,3090922.0
6,1875.0,9.0,2135.0,6.0,15.0,4010.0,511376113.0
7,3750.0,18.0,4270.0,12.0,30.0,8020.0,511396700.0
8,5607880.0,3867.0,1198340.0,2155.0,6022.0,6806220.0,2948256206597.0
9,126484761.0,14636.0,20424238.0,10339.0,24975.0,146908999.0,2932384074810.0
10,288.0,4.0,152.0,2.0,6.0,440.0,240922.0
11,144.0,2.0,76.0,1.0,3.0,220.0,198509.0
12,288.0,4.0,152.0,2.0,6.0,440.0,273291.0
13,144.0,2.0,76.0,1.0,3.0,220.0,202131.0
14,288.0,4.0,152.0,2.0,6.0,440.0,239713.0
15,144.0,2.0,76.0,1.0,3.0,220.0,194072.0
16,288.0,4.0,152.0,2.0,6.0,440.0,230252.0
17,144.0,2.0,76.0,1.0,3.0,220.0,193181.0
18,288.0,4.0,152.0,2.0,6.0,440.0,243985.0
19,144.0,2.0,76.0,1.0,3.0,220.0,192561.0
20,288.0,4.0,152.0,2.0,6.0,440.0,241319.0
21,144.0,2.0,76.0,1.0,3.0,220.0,191243.0
22,288.0,4.0,152.0,2.0,6.0,440.0,265465.0
23,144.0,2.0,76.0,1.0,3.0,220.0,201206.0
24,288.0,4.0,152.0,2.0,6.0,440.0,231091.0
25,144.0,2.0,76.0,1.0,3.0,220.0,198163.0
26,288.0,4.0,152.0,2.0,6.0,440.0,223918.0
27,144.0,2.0,76.0,1.0,3.0,220.0,190833.0
28,288.0,4.0,152.0,2.0,6.0,440.0,248712.0
29,144.0,2.0,76.0,1.0,3.0,220.0,198297.0
30,288.0,4.0,152.0,2.0,6.0,440.0,235160.0
31,144.0,2.0,76.0,1.0,3.0,220.0,199177.0
32,288.0,4.0,152.0,2.0,6.0,440.0,238235.0
33,144.0,2.0,76.0,1.0,3.0,220.0,192210.0
34,288.0,4.0,152.0,2.0,6.0,440.0,247256.0
35,144.0,2.0,76.0,1.0,3.0,220.0,195456.0
36,288.0,4.0,152.0,2.0,6.0,440.0,275409.0
37,144.0,2.0,76.0,1.0,3.0,220.0,225542.0
38,288.0,4.0,152.0,2.0,6.0,440.0,242292.0
39,144.0,2.0,76.0,1.0,3.0,220.0,191613.0
40,288.0,4.0,152.0,2.0,6.0,440.0,244443.0
41,144.0,2.0,76.0,1.0,3.0,220.0,194124.0
42,288.0,4.0,152.0,2.0,6.0,440.0,231119.0
43,144.0,2.0,76.0,1.0,3.0,220.0,208484.0
44,288.0,4.0,152.0,2.0,6.0,440.0,225976.0
45,144.0,2.0,76.0,1.0,3.0,220.0,191785.0
46,288.0,4.0,152.0,2.0,6.0,440.0,236667.0
47,144.0,2.0,76.0,1.0,3.0,220.0,200755.0
48,288.0,4.0,152.0,2.0,6.0,440.0,232274.0
49,144.0,2.0,76.0,1.0,3.0,220.0,192933.0
50,288.0,4.0,152.0,2.0,6.0,440.0,236359.0
51,144.0,2.0,76.0,1.0,3.0,220.0,191447.0
52,288.0,4.0,152.0,2.0,6.0,440.0,261949.0
53,144.0,2.0,76.0,1.0,3.0,220.0,196367.0
54,288.0,4.0,152.0,2.0,6.0,440.0,241794.0
55,144.0,2.0,76.0,1.0,3.0,220.0,192660.0
56,288.0,4.0,152.0,2.0,6.0,440.0,224335.0
57,144.0,2.0,76.0,1.0,3.0,220.0,206289.0
58,288.0,4.0,152.0,2.0,6.0,440.0,276612.0
59,144.0,2.0,76.0,1.0,3.0,220.0,218227.0
60,288.0,4.0,152.0,2.0,6.0,440.0,306763.0
61,144.0,2.0,76.0,1.0,3.0,220.0,264041.0
62,288.0,4.0,152.0,2.0,6.0,440.0,243769.0
63,144.0,2.0,76.0,1.0,3.0,220.0,195886.0
64,288.0,4.0,152.0,2.0,6.0,440.0,258970.0
65,144.0,2.0,76.0,1.0,3.0,220.0,198825.0
66,288.0,4.0,152.0,2.0,6.0,440.0,269830.0
67,144.0,2.0,76.0,1.0,3.0,220.0,199415.0
68,288.0,4.0,152.0,2.0,6.0,440.0,243004.0
69,144.0,2.0,76.0,1.0,3.0,220.0,206852.0
70,288.0,4.0,152.0,2.0,6.0,440.0,254114.0
71,144.0,2.0,76.0,1.0,3.0,220.0,208001.0
72,288.0,4.0,152.0,2.0,6.0,440.0,266518.0
73,144.0,2.0,76.0,1.0,3.0,220.0,202925.0
74,288.0,4.0,152.0,2.0,6.0,440.0,239770.0
75,144.0,2.0,76.0,1.0,3.0,220.0,193904.0
76,288.0,4.0,152.0,2.0,6.0,440.0,220582.0
77,144.0,2.0,76.0,1.0,3.0,220.0,186560.0
78,288.0,4.0,152.0,2.0,6.0,440.0,238880.0
79,144.0,2.0,76.0,1.0,3.0,220.0,193691.0
80,288.0,4.0,152.0,2.0,6.0,440.0,210345.0
81,144.0,2.0,76.0,1.0,3.0,220.0,178102.0
82,288.0,4.0,152.0,2.0,6.0,440.0,276635.0
83,144.0,2.0,76.0,1.0,3.0,220.0,204571.0
84,288.0,4.0,152.0,2.0,6.0,440.0,263019.0
85,144.0,2.0,76.0,1.0,3.0,220.0,215680.0
86,288.0,4.0,152.0,2.0,6.0,440.0,287981.0
87,144.0,2.0,76.0,1.0,3.0,220.0,221457.0
88,288.0,4.0,152.0,2.0,6.0,440.0,274253.0
89,144.0,2.0,76.0,1.0,3.0,220.0,231177.0
90,288.0,4.0,152.0,2.0,6.0,440.0,225072.0
91,144.0,2.0,76.0,1.0,3.0,220.0,189086.0
92,288.0,4.0,152.0,2.0,6.0,440.0,224722.0
93,144.0,2.0,76.0,1.0,3.0,220.0,193319.0
94,288.0,4.0,152.0,2.0,6.0,440.0,295999.0
95,144.0,2.0,76.0,1.0,3.0,220.0,192850.0
96,288.0,4.0,152.0,2.0,6.0,440.0,230721.0
97,144.0,2.0,76.0,1.0,3.0,220.0,215046.0
98,288.0,4.0,152.0,2.0,6.0,440.0,266510.0
99,144.0,2.0,76.0,1.0,3.0,220.0,202462.0
100,288.0,4.0,152.0,2.0,6.0,440.0,261973.0
101,144.0,2.0,76.0,1.0,3.0,220.0,194574.0
102,288.0,4.0,152.0,2.0,6.0,440.0,230099.0
