source.bytes,source.packets,destination.bytes,destination.packets,network.packets,network.bytes,network.transport,event.duration
23080.0,335.0,307728.0,327.0,662.0,330808.0,1.0,9149952108596.0
112.0,2.0,56.0,1.0,3.0,168.0,1.0,87498.0
1848.0,15.0,2289.0,10.0,25.0,4137.0,1.0,5632239245.0
1792.0,14.0,2289.0,10.0,24.0,4081.0,1.0,3583794677.0
1848.0,15.0,2289.0,10.0,25.0,4137.0,1.0,4096117409.0
90.0,1.0,178.0,1.0,2.0,268.0,2.0,85398.0
112.0,2.0,56.0,1.0,3.0,168.0,1.0,511981307.0
1792.0,14.0,2289.0,10.0,24.0,4081.0,1.0,3584120677.0
56.0,1.0,56.0,1.0,2.0,112.0,1.0,35792.0
1104.0,5.0,1593.0,5.0,10.0,2697.0,1.0,1024210980.0
90.0,1.0,178.0,1.0,2.0,268.0,2.0,107640.0
92.0,1.0,92.0,1.0,2.0,184.0,2.0,48597.0
90.0,1.0,178.0,1.0,2.0,268.0,2.0,90720.0
90.0,1.0,178.0,1.0,2.0,268.0,2.0,108768.0
90.0,1.0,178.0,1.0,2.0,268.0,2.0,132005.0
92.0,1.0,92.0,1.0,2.0,184.0,2.0,50607.0
90.0,1.0,178.0,1.0,2.0,268.0,2.0,106705.0
92.0,1.0,92.0,1.0,2.0,184.0,2.0,34619.0
1848.0,15.0,2289.0,10.0,25.0,4137.0,1.0,7168139415.0
112.0,2.0,56.0,1.0,3.0,168.0,1.0,76843.0
1680.0,12.0,2289.0,10.0,22.0,3969.0,1.0,3071949618.0
1792.0,14.0,2289.0,10.0,24.0,4081.0,1.0,4096030614.0
1792.0,14.0,2345.0,11.0,25.0,4137.0,1.0,6144171719.0
1736.0,13.0,2289.0,10.0,23.0,4025.0,1.0,4095887685.0
112.0,2.0,56.0,1.0,3.0,168.0,1.0,91847.0
1736.0,13.0,2289.0,10.0,23.0,4025.0,1.0,3583960266.0
203553.0,137.0,6936.0,96.0,233.0,210489.0,1.0,275968057532.0
90.0,1.0,178.0,1.0,2.0,268.0,2.0,132426.0
90.0,1.0,178.0,1.0,2.0,268.0,2.0,101400.0
90.0,1.0,178.0,1.0,2.0,268.0,2.0,92518.0
92.0,1.0,92.0,1.0,2.0,184.0,2.0,47522.0
90.0,1.0,178.0,1.0,2.0,268.0,2.0,140727.0
1792.0,14.0,2289.0,10.0,24.0,4081.0,1.0,5631949920.0
90.0,1.0,178.0,1.0,2.0,268.0,2.0,113019.0
23012.0,334.0,306760.0,326.0,660.0,329772.0,1.0,9119744059912.0
1848.0,15.0,2289.0,10.0,25.0,4137.0,1.0,7168139415.0
112.0,2.0,56.0,1.0,3.0,168.0,1.0,87498.0
1848.0,15.0,2289.0,10.0,25.0,4137.0,1.0,5632239245.0
112.0,2.0,56.0,1.0,3.0,168.0,1.0,76843.0
1680.0,12.0,2289.0,10.0,22.0,3969.0,1.0,3071949618.0
1792.0,14.0,2289.0,10.0,24.0,4081.0,1.0,3583794677.0
1848.0,15.0,2289.0,10.0,25.0,4137.0,1.0,4096117409.0
1792.0,14.0,2289.0,10.0,24.0,4081.0,1.0,4096030614.0
1792.0,14.0,2289.0,10.0,24.0,4081.0,1.0,5631949920.0
1792.0,14.0,2345.0,11.0,25.0,4137.0,1.0,6144171719.0
112.0,2.0,56.0,1.0,3.0,168.0,1.0,511981307.0
1736.0,13.0,2289.0,10.0,23.0,4025.0,1.0,4095887685.0
1208.0,6.0,1929.0,6.0,12.0,3137.0,1.0,1024082644.0
195579.0,131.0,6646.0,92.0,223.0,202225.0,1.0,267264162927.0
90.0,1.0,178.0,1.0,2.0,268.0,2.0,107640.0
90.0,1.0,178.0,1.0,2.0,268.0,2.0,132426.0
92.0,1.0,92.0,1.0,2.0,184.0,2.0,48597.0
90.0,1.0,178.0,1.0,2.0,268.0,2.0,101400.0
90.0,1.0,178.0,1.0,2.0,268.0,2.0,90720.0
90.0,1.0,178.0,1.0,2.0,268.0,2.0,92518.0
90.0,1.0,178.0,1.0,2.0,268.0,2.0,108768.0
92.0,1.0,92.0,1.0,2.0,184.0,2.0,47522.0
90.0,1.0,178.0,1.0,2.0,268.0,2.0,132005.0
90.0,1.0,178.0,1.0,2.0,268.0,2.0,140727.0
92.0,1.0,92.0,1.0,2.0,184.0,2.0,50607.0
90.0,1.0,178.0,1.0,2.0,268.0,2.0,85398.0
23012.0,334.0,306760.0,326.0,660.0,329772.0,1.0,9119744059912.0
112.0,2.0,56.0,1.0,3.0,168.0,1.0,87498.0
112.0,2.0,56.0,1.0,3.0,168.0,1.0,76843.0
1792.0,14.0,2289.0,10.0,24.0,4081.0,1.0,3583794677.0
1792.0,14.0,2289.0,10.0,24.0,4081.0,1.0,4096030614.0
1680.0,12.0,2289.0,10.0,22.0,3969.0,1.0,3583875385.0
90.0,1.0,178.0,1.0,2.0,268.0,2.0,107640.0
1848.0,15.0,2289.0,10.0,25.0,4137.0,1.0,5632239245.0
90.0,1.0,178.0,1.0,2.0,268.0,2.0,90720.0
1848.0,15.0,2289.0,10.0,25.0,4137.0,1.0,4096117409.0
90.0,1.0,178.0,1.0,2.0,268.0,2.0,132005.0
90.0,1.0,178.0,1.0,2.0,268.0,2.0,132426.0
90.0,1.0,178.0,1.0,2.0,268.0,2.0,101400.0
90.0,1.0,178.0,1.0,2.0,268.0,2.0,92518.0
92.0,1.0,92.0,1.0,2.0,184.0,2.0,47522.0
90.0,1.0,178.0,1.0,2.0,268.0,2.0,140727.0
1848.0,15.0,2289.0,10.0,25.0,4137.0,1.0,7168139415.0
92.0,1.0,92.0,1.0,2.0,184.0,2.0,48597.0
1680.0,12.0,2289.0,10.0,22.0,3969.0,1.0,3071949618.0
90.0,1.0,178.0,1.0,2.0,268.0,2.0,108768.0
1792.0,14.0,2289.0,10.0,24.0,4081.0,1.0,5631949920.0
189832.0,127.0,6430.0,89.0,216.0,196262.0,1.0,258048019201.0
23012.0,334.0,306760.0,326.0,660.0,329772.0,1.0,9119744059912.0
1792.0,14.0,2289.0,10.0,24.0,4081.0,1.0,6144019466.0
1792.0,14.0,2289.0,10.0,24.0,4081.0,1.0,6656157991.0
56.0,1.0,56.0,1.0,2.0,112.0,1.0,31936.0
1792.0,14.0,2289.0,10.0,24.0,4081.0,1.0,7680011242.0
1848.0,15.0,2289.0,10.0,25.0,4137.0,1.0,5632239245.0
112.0,2.0,56.0,1.0,3.0,168.0,1.0,76843.0
1848.0,15.0,2289.0,10.0,25.0,4137.0,1.0,4096117409.0
1444.0,9.0,2093.0,8.0,17.0,3537.0,1.0,3072096485.0
181771.0,123.0,6214.0,86.0,209.0,187985.0,1.0,245248098853.0
92.0,1.0,92.0,1.0,2.0,184.0,2.0,43215.0
90.0,1.0,178.0,1.0,2.0,268.0,2.0,93531.0
90.0,1.0,178.0,1.0,2.0,268.0,2.0,132426.0
90.0,1.0,178.0,1.0,2.0,268.0,2.0,107640.0
92.0,1.0,92.0,1.0,2.0,184.0,2.0,48597.0
90.0,1.0,178.0,1.0,2.0,268.0,2.0,90720.0
1848.0,15.0,2289.0,10.0,25.0,4137.0,1.0,4608042797.0
56.0,1.0,56.0,1.0,2.0,112.0,1.0,62428.0
1848.0,15.0,2289.0,10.0,25.0,4137.0,1.0,7168048597.0
1848.0,15.0,2289.0,10.0,25.0,4137.0,1.0,7168139415.0
112.0,2.0,56.0,1.0,3.0,168.0,1.0,87498.0
1680.0,12.0,2289.0,10.0,22.0,3969.0,1.0,3071949618.0
1792.0,14.0,2289.0,10.0,24.0,4081.0,1.0,3583794677.0
1792.0,14.0,2289.0,10.0,24.0,4081.0,1.0,4096030614.0
90.0,1.0,178.0,1.0,2.0,268.0,2.0,95037.0
90.0,1.0,178.0,1.0,2.0,268.0,2.0,147069.0
90.0,1.0,178.0,1.0,2.0,268.0,2.0,93720.0
90.0,1.0,178.0,1.0,2.0,268.0,2.0,118503.0
92.0,1.0,92.0,1.0,2.0,184.0,2.0,60591.0
90.0,1.0,178.0,1.0,2.0,268.0,2.0,101400.0
90.0,1.0,178.0,1.0,2.0,268.0,2.0,92518.0
92.0,1.0,92.0,1.0,2.0,184.0,2.0,47522.0
90.0,1.0,178.0,1.0,2.0,268.0,2.0,108768.0
1848.0,15.0,2289.0,10.0,25.0,4137.0,1.0,4608042797.0
1792.0,14.0,2289.0,10.0,24.0,4081.0,1.0,6656157991.0
1792.0,14.0,2289.0,10.0,24.0,4081.0,1.0,6144019466.0
1792.0,14.0,2289.0,10.0,24.0,4081.0,1.0,7680011242.0
112.0,2.0,56.0,1.0,3.0,168.0,1.0,87498.0
1848.0,15.0,2289.0,10.0,25.0,4137.0,1.0,7168139415.0
1792.0,14.0,2289.0,10.0,24.0,4081.0,1.0,3583794677.0
1680.0,12.0,2289.0,10.0,22.0,3969.0,1.0,3071949618.0
90.0,1.0,178.0,1.0,2.0,268.0,2.0,147069.0
90.0,1.0,178.0,1.0,2.0,268.0,2.0,95037.0
92.0,1.0,92.0,1.0,2.0,184.0,2.0,60591.0
90.0,1.0,178.0,1.0,2.0,268.0,2.0,93720.0
92.0,1.0,92.0,1.0,2.0,184.0,2.0,48597.0
90.0,1.0,178.0,1.0,2.0,268.0,2.0,132426.0
90.0,1.0,178.0,1.0,2.0,268.0,2.0,101400.0
22944.0,333.0,305792.0,325.0,658.0,328736.0,1.0,9090048043638.0
1848.0,15.0,2289.0,10.0,25.0,4137.0,1.0,7168048597.0
56.0,1.0,56.0,1.0,2.0,112.0,1.0,62428.0
56.0,1.0,56.0,1.0,2.0,112.0,1.0,31936.0
112.0,2.0,56.0,1.0,3.0,168.0,1.0,76843.0
1848.0,15.0,2289.0,10.0,25.0,4137.0,1.0,5632239245.0
174054.0,117.0,5924.0,82.0,199.0,179978.0,1.0,236544019414.0
1320.0,8.0,1929.0,6.0,14.0,3249.0,1.0,1535964954.0
90.0,1.0,178.0,1.0,2.0,268.0,2.0,93531.0
92.0,1.0,92.0,1.0,2.0,184.0,2.0,43215.0
90.0,1.0,178.0,1.0,2.0,268.0,2.0,107640.0
90.0,1.0,178.0,1.0,2.0,268.0,2.0,118503.0
90.0,1.0,178.0,1.0,2.0,268.0,2.0,90720.0
22944.0,333.0,305792.0,325.0,658.0,328736.0,1.0,9090048043638.0
1792.0,14.0,2289.0,10.0,24.0,4081.0,1.0,6144019466.0
56.0,1.0,56.0,1.0,2.0,112.0,1.0,62428.0
56.0,1.0,56.0,1.0,2.0,112.0,1.0,31936.0
1848.0,15.0,2289.0,10.0,25.0,4137.0,1.0,7168139415.0
1500.0,10.0,2093.0,8.0,18.0,3593.0,1.0,3072160964.0
166778.0,111.0,5634.0,78.0,189.0,172412.0,1.0,224256059198.0
90.0,1.0,178.0,1.0,2.0,268.0,2.0,147069.0
90.0,1.0,178.0,1.0,2.0,268.0,2.0,93531.0
92.0,1.0,92.0,1.0,2.0,184.0,2.0,60591.0
90.0,1.0,178.0,1.0,2.0,268.0,2.0,107640.0
1848.0,15.0,2289.0,10.0,25.0,4137.0,1.0,4608042797.0
1792.0,14.0,2289.0,10.0,24.0,4081.0,1.0,6656157991.0
1848.0,15.0,2289.0,10.0,25.0,4137.0,1.0,7168048597.0
1792.0,14.0,2289.0,10.0,24.0,4081.0,1.0,7680011242.0
112.0,2.0,56.0,1.0,3.0,168.0,1.0,87498.0
112.0,2.0,56.0,1.0,3.0,168.0,1.0,76843.0
90.0,1.0,178.0,1.0,2.0,268.0,2.0,95037.0
92.0,1.0,92.0,1.0,2.0,184.0,2.0,43215.0
90.0,1.0,178.0,1.0,2.0,268.0,2.0,93720.0
90.0,1.0,178.0,1.0,2.0,268.0,2.0,118503.0
22944.0,333.0,305792.0,325.0,658.0,328736.0,1.0,9090048043638.0
1848.0,15.0,2289.0,10.0,25.0,4137.0,1.0,9215996493.0
1848.0,15.0,2289.0,10.0,25.0,4137.0,1.0,7167840340.0
1848.0,15.0,2289.0,10.0,25.0,4137.0,1.0,4608042797.0
1792.0,14.0,2289.0,10.0,24.0,4081.0,1.0,6656157991.0
1848.0,15.0,2289.0,10.0,25.0,4137.0,1.0,7168048597.0
1792.0,14.0,2289.0,10.0,24.0,4081.0,1.0,7680011242.0
160245.0,107.0,5418.0,75.0,182.0,165663.0,1.0,217600119402.0
92.0,1.0,92.0,1.0,2.0,184.0,2.0,41771.0
90.0,1.0,149.0,1.0,2.0,239.0,2.0,120091.0
92.0,1.0,92.0,1.0,2.0,184.0,2.0,33993.0
90.0,1.0,178.0,1.0,2.0,268.0,2.0,91270.0
92.0,1.0,92.0,1.0,2.0,184.0,2.0,43215.0
90.0,1.0,178.0,1.0,2.0,268.0,2.0,93720.0
90.0,1.0,178.0,1.0,2.0,268.0,2.0,118503.0
1848.0,15.0,2289.0,10.0,25.0,4137.0,1.0,5632128110.0
3082.0,15.0,3038.0,16.0,31.0,6120.0,1.0,10240075291.0
1848.0,15.0,2289.0,10.0,25.0,4137.0,1.0,5120011366.0
1792.0,14.0,2289.0,10.0,24.0,4081.0,1.0,6144019466.0
56.0,1.0,56.0,1.0,2.0,112.0,1.0,62428.0
56.0,1.0,56.0,1.0,2.0,112.0,1.0,31936.0
124.0,2.0,145.0,2.0,4.0,269.0,1.0,512127635.0
90.0,1.0,178.0,1.0,2.0,268.0,2.0,113445.0
90.0,1.0,178.0,1.0,2.0,268.0,2.0,114088.0
90.0,1.0,178.0,1.0,2.0,268.0,2.0,101911.0
90.0,1.0,178.0,1.0,2.0,268.0,2.0,95037.0
90.0,1.0,178.0,1.0,2.0,268.0,2.0,147069.0
90.0,1.0,178.0,1.0,2.0,268.0,2.0,93531.0
92.0,1.0,92.0,1.0,2.0,184.0,2.0,60591.0
22876.0,332.0,304824.0,324.0,656.0,327700.0,1.0,9059840047495.0
1848.0,15.0,2289.0,10.0,25.0,4137.0,1.0,5632128110.0
1848.0,15.0,2289.0,10.0,25.0,4137.0,1.0,9215996493.0
3082.0,15.0,3038.0,16.0,31.0,6120.0,1.0,10240075291.0
